,station_name,station_lat,station_lng,Mon_inflow,Mon_outflow,Tues_inflow,Tues_outflow,Wed_inflow,Wed_outflow,Thur_inflow,Thur_outflow,Fri_inflow,Fri_outflow,Sat_inflow,Sat_outflow,Sun_inflow,Sun_outflow
0,Central Park West & W 76 St,40.77896784,-73.97374737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Pershing Square North,40.751873,-73.977706,13.308333333333334,13.158333333333333,17.075,17.033333333333335,15.016666666666667,14.775,16.239583333333332,16.625,3.6979166666666665,3.3229166666666665,2.9166666666666665,3.4895833333333335,13.09375,12.5
2,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1 Ave & E 16 St,40.73221853,-73.98165557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Great Jones St,40.72743423,-73.99379025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Frederick Douglass Blvd & W 115 St,40.8038654,-73.9559308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,3 Ave & E 95 St,40.78459679884892,-73.94968539476395,0.75,0.775,1.0,0.975,0.7916666666666666,0.9583333333333334,1.0520833333333333,0.8958333333333334,0.5729166666666666,0.6458333333333334,0.71875,0.6770833333333334,0.7708333333333334,0.6875
7,Broadway & E 14 St,40.73454567,-73.99074142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Columbia St & W 9 St,40.6769993,-74.00647134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,E 7 St & Avenue A,40.72621788,-73.98379855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,W 31 St & 7 Ave,40.749156,-73.9916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,St Marks Pl & 1 Ave,40.72779126,-73.98564945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Bayard St & Leonard St,40.71915571696044,-73.94885390996933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Richardson St & N Henry St,40.71907891179564,-73.94223690032959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,E 25 St & 2 Ave,40.73912601,-73.97973776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Graham Ave & Herbert St,40.71929301,-73.94500379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,E 59 St & Madison Ave,40.76350532,-73.97109243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Central Park West & W 72 St,40.77579376683666,-73.9762057363987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,E 2 St & 2 Ave,40.72502876,-73.99069656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,W 67 St & Broadway,40.77492513,-73.98266566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,E 67 St & Park Ave,40.76780080148132,-73.96592080593109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,W 21 St & 6 Ave,40.74173969,-73.99415556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,W 44 St & 5 Ave,40.75500254,-73.98014437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Columbus Ave & W 103 St,40.7969347,-73.9643412291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Clinton St & Union St,40.6831164,-73.99785267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Central Park West & W 68 St,40.7734066,-73.97782542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,E 9 St & Avenue C,40.72521311,-73.97768752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,W 84 St & Columbus Ave,40.78499979,-73.97283406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,E 2 St & Avenue A,40.72307749068673,-73.98583620786667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,6 Ave & 9 St,40.668127,-73.98377641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Prospect Pl & Underhill Ave,40.6769694,-73.96579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Water - Whitehall Plaza,40.70255065,-74.0127234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,5 Ave & E 103 St,40.7922553,-73.95249933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Canal St & Rutgers St,40.71427487,-73.98990025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,E 41 St & Madison Ave,40.752165280621966,-73.97992193698882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,W 18 St & 6 Ave,40.73971301,-73.99456405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Watts St & Greenwich St,40.72405549,-74.00965965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,W 13 St & 7 Ave,40.73781509,-73.99994661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Union St & Bedford Ave,40.6691783,-73.9554162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Franklin St & W Broadway,40.71911552,-74.00666661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Bank St & Hudson St,40.73652889,-74.00618026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
